ctr_nf;uwy_nf;Client;CLISHONAM_LD;NAIC_Client;grp;Groupe;ult;Ultimate;Country;Contract_status;accounting_status;Everest_Treaty_Number;Origine_Ptf;sec_nf;Devise;Subsidiary;Esb;esb_ll;ctraccsts_ct
04T002793;2 018;40 421;BPCE PREVOYANCE; ;1 262;GROUPE BANQUES POPULAIRES;3 321;GROUPE BPCE;FRA;Accepted/Bound;No Account Booked;[NULL];SGL PARIS;1;EUR;4;1;PARIS;0
04T001820;2 017;41 218;MUTRE; ;1 196;SCOR;[NULL]; ;FRA;Accepted/Bound;No Account Booked;[NULL];SGL PARIS;1;EUR;4;1;PARIS;0
04T004962;2 017;40 890;MUTRE; ;1 211;FNMF;[NULL]; ;FRA;Accepted/Bound;No Account Booked;[NULL];SGL PARIS;1;EUR;4;1;PARIS;0
04T004962;2 017;40 890;MUTRE; ;1 211;FNMF;[NULL]; ;FRA;Accepted/Bound;No Account Booked;[NULL];SGL PARIS;2;EUR;4;1;PARIS;0
04T005140;2 017;41 218;MUTRE; ;1 196;SCOR;[NULL]; ;FRA;Accepted/Bound;No Account Booked;[NULL];SGL PARIS;1;EUR;4;1;PARIS;0
TR0024557;2 017;20 510;ATLAS;00000;[NULL]; ;[NULL]; ;MEX;Accepted/Bound;No Account Booked;[NULL];SGL PARIS;1;MXN;4;1;PARIS;0
TR0026270;2 017;22 682;BANAMEX;00000;[NULL]; ;[NULL]; ;MEX;Accepted/Bound;No Account Booked;[NULL];SGL PARIS;1;MXN;4;1;PARIS;0
