country code;country;Scope local;Scope regional
OMN;OMAN;Middle East;EMEA
PAK;PAKISTAN;India;APAC
PAL;PALESTINE;Middle East;EMEA
PAN;PANAMA;Latin America;Americas
PCN;PITCAIRN;UK Ireland;EMEA
PER;PERU;Latin America;Americas
PHL;PHILIPPINES;South East Asia;APAC
PLW;PALAU Republic;Australia New Zealand;APAC
PNG;PAPUA NEW GUINEA;Australia New Zealand;APAC
POL;POLAND;Israel & others;EMEA
PRI;PUERTO RICO;US;Americas
PRK;KOREA NORTH;South East Asia;APAC
PRT;PORTUGAL;Iberia;EMEA
PRY;PARAGUAY;Latin America;Americas
QAT;QATAR;Middle East;EMEA
ROM;ROMANIA;Germany Austria;EMEA
RUS;RUSSIA;Israel & others;EMEA
RWA;RWANDA;France Africa;EMEA
SAU;SAUDI ARABIA;Middle East;EMEA
SCG;YUGOSLAVIA;Germany Austria;EMEA
SDN;SUDAN;South Africa;EMEA
SEN;SENEGAL;France Africa;EMEA
SGP;SINGAPORE;South East Asia;APAC
SGS;SOUTH GEORGIA...;UK Ireland;EMEA
SLB;SOLOMON ISLANDS;South East Asia;APAC
SLE;SIERRA LEONE;Latin America;Americas
SLV;EL SALVADOR;Latin America;Americas
SMR;SAN MARINO;Italy;EMEA
SOM;SOMALIA;South Africa;EMEA
SRB;SERBIA;Germany Austria;EMEA
SSD;SOUTH SUDAN;South Africa;EMEA
STP;SAO TOME;Iberia;EMEA
SUR;SURINAME;Netherlands;EMEA
SVK;SLOVAKIA;Germany Austria;EMEA
SVN;SLOVENIA;Germany Austria;EMEA
SWE;SWEDEN;Nordic;EMEA
SWZ;SWAZILAND;UK Ireland;EMEA
SXM;SINT MAARTEN;Netherlands;EMEA
SYC;SEYCHELLES;India;APAC
SYR;SYRIA;Middle East;EMEA
TCA;TURKS CAICOS;Israel & others;EMEA
TCD;CHAD;France Africa;EMEA
TGO;TOGO;France Africa;EMEA
THA;THAILAND;South East Asia;APAC
TJK;TAJIKISTAN;Israel & others;EMEA
TKM;TURKMENISTAN;Israel & others;EMEA
TON;TONGA;Australia New Zealand;APAC
TTO;TRINIDAD&TOBAGO;UK Ireland;EMEA
TUN;TUNISIA;France Africa;EMEA
TUR;TURKEY;Israel & others;EMEA
TWN;TAIWAN;Taiwan;APAC
TZA;TANZANIA;South Africa;EMEA
UGA;UGANDA;South Africa;EMEA
UKR;UKRAINE;Israel & others;EMEA
URY;URUGUAY;Latin America;Americas
USA;USA;US;Americas
USU;U.S. Midwest;US;Americas
USV;U.S. Northeast;US;Americas
USW;U.S. West;US;Americas
USX;U S. Mid-atlanti;US;Americas
USY;U.S. Southeast;US;Americas
USZ;U.S. South Centr;US;Americas
UZB;UZBEKISTAN;Israel & others;EMEA
VAT;VATICAN;Italy;EMEA
VCT;SAINT VINCENT...;UK Ireland;EMEA
VEN;VENEZUELA;Latin America;Americas
VGB;VIRGIN (GBR);Belgium Luxembourg;EMEA
VIR;VIRGIN (USA);US;Americas
VNM;VIET NAM;South East Asia;APAC
VUT;VANUATU;Australia New Zealand;APAC
WSM;SAMOA;Australia New Zealand;APAC
YEM;YEMEN;Middle East;EMEA
YUG;YUGOSLAVIA Old;Germany Austria;EMEA
ZAF;SOUTH AFRICA;South Africa;EMEA
ZAR;ZAIRE Old;Belgium Luxembourg;EMEA
ZMB;ZAMBIA;South Africa;EMEA
ZWE;ZIMBABWE;South Africa;EMEA
